G 0 0 0 	 0.00000000 
. 0 1 0 	 0.05773503 
. 0 2 0 	 0.11547005 
. 0 3 0 	 0.17320508 
. 0 4 0 	 0.23094011 
. 0 5 0 	 0.28867513 
. 0 6 0 	 0.34641016 
. 0 7 0 	 0.40414519 
. 0 8 0 	 0.46188022 
. 0 9 0 	 0.51961524 
M 0 10 0 	 0.57735027 
. -1 10 0 	 0.63290582 
. -2 11 0 	 0.68846138 
. -3 11 0 	 0.74401694 
. -4 12 0 	 0.79957249 
. -5 12 0 	 0.85512805 
K -6 13 0 	 0.91068360 
. -5 11 0 	 0.98475768 
. -5 10 0 	 1.05883175 
. -4 8 0 	 1.13290582 
. -3 7 0 	 1.20697990 
. -2 5 0 	 1.28105397 
. -2 4 0 	 1.35512805 
. -1 2 0 	 1.42920212 
. 0 1 0 	 1.50327620 
G 0 0 0 	 1.57735027 
